Date,Description,Amount,Merchant,Category,Type,AbsAmount,Month
2025-07-01,Salary Credit ACME Pvt Ltd,75000,salary credit acme pvt ltd,Income,Credit,75000,2025-07-01
2025-07-02,SWIGGY Order #12345,-450,swiggy order,Food & Dining,Debit,450,2025-07-01
2025-07-03,Uber Trip 8KJH2,-220,uber trip kjh,Transport,Debit,220,2025-07-01
2025-07-03,Amazon Marketplace Order #A1B2C3,-1299,amazon marketplace order a b c,Shopping,Debit,1299,2025-07-01
2025-07-04,PhonePe UPI to Ramesh Grocery,-850,phonepe ramesh grocery,Payments,Debit,850,2025-07-01
2025-07-05,BESCOM Electricity Bill,-1820,bescom electricity bill,Utilities,Debit,1820,2025-07-01
2025-07-06,Airtel Prepaid Recharge,-299,airtel prepa recharge,Mobile & Internet,Debit,299,2025-07-01
2025-07-08,Shell Fuel Station,-2000,shell fuel station,Fuel,Debit,2000,2025-07-01
2025-07-12,Netflix Subscription,-649,netflix subscription,Subscriptions,Debit,649,2025-07-01
2025-07-15,PharmEasy Order,-780,pharmeasy order,Health,Debit,780,2025-07-01
2025-07-18,ATM Cash Withdrawal,-3000,atm cash withdrawal,Cash,Debit,3000,2025-07-01
2025-07-20,Refund from Amazon,1299,und amazon,Shopping,Credit,1299,2025-07-01
2025-08-01,Salary Credit ACME Pvt Ltd,76000,salary credit acme pvt ltd,Income,Credit,76000,2025-08-01
2025-08-02,Zomato Order #98765,-520,zoma order,Food & Dining,Debit,520,2025-08-01
2025-08-04,Metro Smart Card Top-up,-200,metro smart card p up,Shopping,Debit,200,2025-08-01
2025-08-05,Rent to Landlord,-15000,rent landlord,Rent,Debit,15000,2025-08-01
2025-08-05,Google Pay UPI to Anitha,-1200,google pay anitha,Payments,Debit,1200,2025-08-01
2025-08-07,Flipkart Festive Sale,-2199,flipkart festive sale,Shopping,Debit,2199,2025-08-01
2025-08-09,Apollo Pharmacy,-560,apollo pharmacy,Health,Debit,560,2025-08-01
2025-08-10,Amazon Pay Cashback,100,amazon pay cashback,Shopping,Credit,100,2025-08-01
